"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","1883","418","90","20","29","186","171","25","19","5.9 %","21.1 %",".126",".297",".242",".293",".368",".287","79"
"2018-09-30","CHW","@MIN","1","3B","5","0","0","0","0","1","1","0","0","20.0 %","40.0 %",".000",".000",".000",".200",".000",".138","-21"
"2018-09-29","CHW","@MIN","2","3B","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-28","CHW","@MIN","2","3B","4","1","0","1","0","1","1","0","0","0.0 %","25.0 %",".500",".333",".250",".250",".750",".395","154"
"2018-09-28","CHW","@MIN","1","3B","4","1","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".500",".250",".250",".250",".220","34"
"2018-09-26","CHW","CLE","1","3B","5","1","1","0","0","0","0","0","0","0.0 %","20.0 %",".200",".250",".200",".200",".400",".249","55"
"2018-09-25","CHW","CLE","1","3B","5","2","0","0","0","2","1","0","0","0.0 %","0.0 %",".000",".400",".400",".400",".400",".352","124"
"2018-09-24","CHW","CLE","1","2B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-23","CHW","CHC","2","3B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-22","CHW","CHC","2","3B","4","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","34"
"2018-09-20","CHW","@CLE","2","3B","6","2","1","0","0","1","0","0","0","0.0 %","16.7 %",".200",".500",".400",".400",".600",".425","175"
"2018-09-19","CHW","@CLE","2","3B","4","1","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".500",".250",".250",".250",".220","34"
"2018-09-18","CHW","@CLE","1","3B","5","1","1","0","0","0","1","0","0","0.0 %","20.0 %",".200",".250",".200",".200",".400",".249","55"
"2018-09-16","CHW","@BAL","2","3B","5","1","0","0","1","1","2","1","0","20.0 %","20.0 %",".750",".000",".250",".400","1.000",".544","256"
"2018-09-15","CHW","@BAL","2","3B","4","1","1","0","0","0","1","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","97"
"2018-09-14","CHW","@BAL","2","3B","5","0","0","0","0","0","0","0","0","40.0 %","0.0 %",".000",".000",".000",".400",".000",".276","73"
"2018-09-12","CHW","@KCR","2","2B","6","0","0","0","0","0","0","0","0","0.0 %","66.7 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-11","CHW","@KCR","2","3B","5","1","1","0","0","1","0","0","0","0.0 %","0.0 %",".200",".200",".200",".200",".400",".249","55"
"2018-09-10","CHW","@KCR","2","3B","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-09-09","CHW","LAA","2","PH","1","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".880","484"
"2018-09-08","CHW","LAA","2","3B","4","2","2","0","0","1","1","0","0","25.0 %","0.0 %",".667",".667",".667",".750","1.333",".796","427"
"2018-09-07","CHW","LAA","2","3B","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-09-05","CHW","DET","2","3B","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-03","CHW","DET","2","3B","4","0","0","0","0","0","0","0","0","25.0 %","0.0 %",".000",".000",".000",".250",".000",".172","2"
"2018-09-02","CHW","BOS","8","3B","5","2","0","0","0","1","1","1","0","0.0 %","0.0 %",".000",".400",".400",".400",".400",".352","124"
"2018-09-01","CHW","BOS","8","3B","3","1","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".500",".333",".333",".333",".293","84"
"2018-08-31","CHW","BOS","1","3B","5","1","1","0","0","1","0","0","0","0.0 %","20.0 %",".250",".333",".250",".400",".500",".393","153"
"2018-08-30","CHW","BOS","1","3B","5","3","0","0","0","1","0","1","0","0.0 %","20.0 %",".000",".750",".600",".600",".600",".528","244"
"2018-08-29","CHW","@NYY","9","3B","3","0","0","0","0","0","0","0","1","66.7 %","33.3 %",".000",".000",".000",".667",".000",".460","198"
"2018-08-28","CHW","@NYY","1","3B","5","2","0","0","0","1","1","1","0","0.0 %","20.0 %",".000",".500",".400",".400",".400",".352","124"
"2018-08-27","CHW","@NYY","1","3B","5","1","0","0","0","1","0","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","4"
"2018-08-26","CHW","@DET","1","3B","5","0","0","0","0","1","0","0","0","20.0 %","0.0 %",".000",".000",".000",".400",".000",".282","77"
"2018-08-24","CHW","@DET","1","3B","5","0","0","0","0","1","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-21"
"2018-08-23","CHW","@DET","8","3B","4","1","0","0","0","0","0","0","1","25.0 %","50.0 %",".000","1.000",".333",".500",".333",".392","152"
"2018-08-22","CHW","MIN","1","3B","5","1","1","0","0","1","0","0","1","60.0 %","0.0 %",".500",".500",".500",".800","1.000",".663","337"
"2018-08-21","CHW","MIN","2","3B","4","0","0","0","0","0","0","0","0","50.0 %","25.0 %",".000",".000",".000",".500",".000",".345","120"
"2018-08-20","CHW","@MIN","8","2B","5","1","0","0","0","1","0","0","0","20.0 %","0.0 %",".000",".250",".250",".400",".250",".314","99"
"2018-08-19","CHW","KCR","2","3B","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-08-18","CHW","KCR","2","3B","4","1","1","0","0","0","0","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","97"
"2018-08-17","CHW","KCR","2","3B","5","1","0","0","0","1","0","0","0","20.0 %","0.0 %",".000",".333",".333",".600",".333",".458","197"
"2018-08-15","CHW","@DET","2","SS","5","3","1","0","0","1","1","0","0","0.0 %","0.0 %",".200",".600",".600",".600",".800",".601","295"
"2018-08-14","CHW","@DET","7","2B","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-08-13","CHW","@DET","2","3B","5","2","1","0","0","1","0","0","1","0.0 %","40.0 %",".200",".667",".400",".400",".600",".425","175"
"2018-08-12","CHW","CLE","2","3B","5","2","0","0","1","2","1","0","0","0.0 %","40.0 %",".600",".500",".400",".400","1.000",".582","281"
"2018-08-11","CHW","CLE","2","3B","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","34"
"2018-08-10","CHW","CLE","2","3B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-08","CHW","NYY","2","3B","4","1","0","0","0","1","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-08-07","CHW","NYY","7","3B","5","0","0","0","0","0","0","0","0","0.0 %","60.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-06","CHW","NYY","2","3B","4","1","1","0","0","0","0","0","0","25.0 %","0.0 %",".333",".333",".333",".500",".667",".484","215"
"2018-08-05","CHW","@TBR","2","3B","5","0","0","0","0","0","0","0","0","0.0 %","60.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-04","CHW","@TBR","7","3B","3","1","1","0","0","0","0","0","0","33.3 %","33.3 %",".500","1.000",".500",".667","1.000",".646","325"
"2018-08-03","CHW","@TBR","2","3B","4","0","0","0","0","1","0","0","0","25.0 %","75.0 %",".000",".000",".000",".250",".000",".172","2"
"2018-08-02","CHW","KCR","2","3B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-01","CHW","KCR","2","3B","5","1","1","0","0","0","0","0","0","0.0 %","40.0 %",".200",".333",".200",".200",".400",".249","55"
"2018-07-31","CHW","KCR","8","3B","4","2","0","0","0","0","0","0","0","25.0 %","0.0 %",".000",".667",".667",".750",".667",".612","302"
"2018-07-29","CHW","TOR","8","3B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-28","CHW","TOR","2","3B","4","1","0","0","1","2","1","0","0","0.0 %","50.0 %",".750",".000",".250",".250","1.000",".508","231"
"2018-07-27","CHW","TOR","2","3B","5","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-26","CHW","@LAA","2","3B","5","0","0","0","0","0","0","0","0","20.0 %","60.0 %",".000",".000",".000",".200",".000",".138","-21"
"2018-07-25","CHW","@LAA","7","3B","4","0","0","0","0","0","0","0","0","50.0 %","0.0 %",".000",".000",".000",".500",".000",".345","120"
"2018-07-24","CHW","@LAA","2","3B","5","0","0","0","0","0","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-21"
"2018-07-23","CHW","@LAA","2","3B","5","1","0","0","0","1","0","1","0","20.0 %","40.0 %",".000",".500",".250",".400",".250",".314","99"
"2018-07-22","CHW","@SEA","8","3B","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-21","CHW","@SEA","2","3B","4","2","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".440","184"
"2018-07-20","CHW","@SEA","9","3B","3","2","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".667",".667",".667",".667",".586","284"
"2018-07-15","CHW","KCR","2","3B","5","1","0","0","0","0","1","0","0","0.0 %","60.0 %",".000",".500",".200",".200",".200",".176","4"
"2018-07-14","CHW","KCR","8","3B","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-13","CHW","KCR","2","3B","5","1","0","0","0","1","0","0","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".314","99"
"2018-07-11","CHW","STL","2","3B","4","2","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".667",".500",".500",".500",".440","184"
"2018-07-10","CHW","STL","2","3B","4","1","1","0","0","0","0","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","97"
"2018-07-08","CHW","@HOU","8","3B","4","0","0","0","0","0","0","0","0","50.0 %","0.0 %",".000",".000",".000",".500",".000",".345","120"
"2018-07-07","CHW","@HOU","2","3B","4","1","1","0","0","0","0","0","0","25.0 %","50.0 %",".333","1.000",".333",".500",".667",".484","215"
"2018-07-06","CHW","@HOU","2","3B","4","1","0","0","0","1","1","0","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".392","152"
"2018-07-05","CHW","@HOU","2","3B","4","1","1","0","0","0","1","0","0","0.0 %","50.0 %",".250",".500",".250",".250",".500",".312","97"
"2018-07-04","CHW","@CIN","2","3B","4","1","1","0","0","0","1","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","97"
"2018-07-03","CHW","@CIN","2","3B","7","1","0","1","0","0","1","0","0","14.3 %","28.6 %",".333",".250",".167",".286",".500",".324","105"
"2018-07-02","CHW","@CIN","2","3B","5","2","1","0","0","0","1","1","0","0.0 %","0.0 %",".200",".400",".400",".400",".600",".425","175"
"2018-07-01","CHW","@TEX","8","3B","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-06-30","CHW","@TEX","2","3B","5","2","1","0","0","0","1","0","0","0.0 %","20.0 %",".250",".500",".500",".400",".750",".425","175"
"2018-06-28","CHW","MIN","6","3B-SS","6","2","0","0","0","1","0","1","0","0.0 %","16.7 %",".000",".400",".333",".333",".333",".293","84"
"2018-06-27","CHW","MIN","2","3B","4","0","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","2"
"2018-06-26","CHW","MIN","2","3B","5","2","0","0","0","0","4","0","0","0.0 %","20.0 %",".000",".500",".400",".400",".400",".352","124"
"2018-06-24","CHW","OAK","6","3B","4","2","0","0","1","1","1","1","0","0.0 %","0.0 %",".750",".333",".500",".500","1.250",".728","381"
"2018-06-23","CHW","OAK","6","3B","4","1","1","0","0","1","0","0","0","0.0 %","0.0 %",".250",".250",".250",".250",".500",".312","97"
"2018-06-22","CHW","OAK","2","3B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-06-22","CHW","OAK","8","3B","4","1","1","0","0","0","1","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","97"
"2018-06-20","CHW","@CLE","2","3B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-06-19","CHW","@CLE","2","3B","5","0","0","0","0","0","0","0","0","20.0 %","0.0 %",".000",".000",".000",".200",".000",".138","-21"
"2018-06-18","CHW","@CLE","2","3B","4","1","0","0","0","0","1","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-06-17","CHW","DET","2","3B","4","1","1","0","0","0","0","0","0","0.0 %","0.0 %",".250",".250",".250",".250",".500",".312","97"
"2018-06-16","CHW","DET","2","3B","4","1","0","1","0","1","0","0","0","25.0 %","25.0 %",".667",".500",".333",".500","1.000",".567","271"
"2018-06-15","CHW","DET","2","3B","5","1","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","4"
"2018-06-14","CHW","CLE","1","2B-SS","4","0","0","0","0","1","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","2"
"2018-06-13","CHW","CLE","2","3B","4","0","0","0","0","0","0","0","0","25.0 %","75.0 %",".000",".000",".000",".250",".000",".172","2"
"2018-06-12","CHW","CLE","2","3B","4","1","0","0","1","1","1","0","0","25.0 %","0.0 %","1.000",".000",".333",".500","1.333",".680","348"
"2018-06-11","CHW","CLE","2","3B","4","0","0","0","0","0","0","1","0","25.0 %","0.0 %",".000",".000",".000",".500",".000",".352","125"
"2018-06-10","CHW","@BOS","2","3B","5","0","0","0","0","1","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-06-09","CHW","@BOS","2","PH-3B","1","1","0","1","0","0","0","0","0","0.0 %","0.0 %","2.000","1.000","1.000","1.000","3.000","1.578","961"
"2018-06-07","CHW","@MIN","2","3B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-06-06","CHW","@MIN","2","3B","5","1","0","0","0","1","0","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","4"
"2018-06-05","CHW","@MIN","2","3B","5","2","2","0","0","1","2","0","0","20.0 %","0.0 %",".500",".500",".500",".600","1.000",".637","319"
"2018-06-05","CHW","@MIN","2","3B","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-06-03","CHW","MIL","2","3B","4","1","0","0","0","2","0","1","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".392","152"
"2018-06-02","CHW","MIL","2","3B","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","34"
"2018-06-01","CHW","MIL","2","3B","4","1","0","0","0","1","1","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-05-30","CHW","@CLE","2","3B","4","1","0","0","1","1","1","0","0","0.0 %","25.0 %",".750",".000",".250",".250","1.000",".508","231"
"2018-05-29","CHW","@CLE","2","3B","4","1","0","1","0","0","0","0","0","0.0 %","0.0 %",".500",".250",".250",".250",".750",".395","154"
"2018-05-28","CHW","@CLE","2","3B","5","2","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".400",".400",".400",".400",".352","124"
"2018-05-27","CHW","@DET","2","3B","4","2","0","1","0","0","1","1","0","0.0 %","25.0 %",".500",".667",".500",".500","1.000",".614","304"
"2018-05-26","CHW","@DET","2","3B","5","0","0","0","0","0","0","0","0","0.0 %","60.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-05-25","CHW","@DET","2","3B","5","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".200",".200",".200",".200",".176","4"
"2018-05-24","CHW","BAL","2","3B","4","0","0","0","0","1","0","0","0","25.0 %","25.0 %",".000",".000",".000",".500",".000",".352","125"
"2018-05-23","CHW","BAL","2","3B","5","1","0","0","0","0","1","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","4"
"2018-05-22","CHW","BAL","2","3B","5","3","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".600",".600",".600",".600",".528","244"
"2018-05-21","CHW","BAL","2","3B","5","1","0","0","0","0","0","0","0","0.0 %","40.0 %",".000",".333",".200",".200",".200",".176","4"
"2018-05-20","CHW","TEX","7","3B","3","1","0","0","0","0","0","0","1","0.0 %","33.3 %",".000",".500",".333",".333",".333",".293","84"
"2018-05-19","CHW","TEX","2","3B","4","0","0","0","0","1","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","2"
"2018-05-17","CHW","TEX","2","3B","4","0","0","0","0","1","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-05-16","CHW","@PIT","2","SS","4","1","0","0","1","1","1","0","0","0.0 %","25.0 %",".750",".000",".250",".250","1.000",".508","231"
"2018-05-15","CHW","@PIT","2","3B","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","34"
"2018-05-13","CHW","@CHC","2","2B","4","1","0","0","0","0","1","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-05-12","CHW","@CHC","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-05-11","CHW","@CHC","4","2B","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","34"
"2018-05-09","CHW","PIT","2","3B","5","1","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","4"
"2018-05-08","CHW","PIT","2","3B","5","3","0","1","0","2","1","0","0","0.0 %","20.0 %",".400",".750",".600",".600","1.000",".667","340"
"2018-05-06","CHW","MIN","2","3B","4","1","1","0","0","1","0","0","0","0.0 %","50.0 %",".250",".500",".250",".250",".500",".312","97"
"2018-05-05","CHW","MIN","2","3B","4","2","2","0","0","1","0","0","0","0.0 %","0.0 %",".500",".500",".500",".500","1.000",".624","310"
"2018-05-04","CHW","MIN","2","3B","5","3","0","1","0","2","0","0","0","0.0 %","20.0 %",".400",".750",".600",".600","1.000",".667","340"
"2018-05-03","CHW","MIN","1","2B","4","1","0","0","0","0","2","0","1","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-05-02","CHW","@STL","2","3B-2B","4","2","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".440","184"
"2018-04-29","CHW","@KCR","2","3B","5","0","0","0","0","0","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-21"
"2018-04-28","CHW","@KCR","2","3B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-04-28","CHW","@KCR","2","3B","5","2","1","0","0","0","3","0","0","0.0 %","0.0 %",".200",".400",".400",".400",".600",".425","175"
"2018-04-27","CHW","@KCR","2","3B","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-04-26","CHW","@KCR","3","3B","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","34"
"2018-04-25","CHW","SEA","2","3B","4","2","1","0","0","2","0","1","0","0.0 %","25.0 %",".250",".667",".500",".500",".750",".532","247"
"2018-04-24","CHW","SEA","2","3B","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-04-23","CHW","SEA","6","DH","4","2","0","0","0","2","1","1","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".440","184"
"2018-04-22","CHW","HOU","7","3B","4","2","1","0","0","0","1","0","0","25.0 %","0.0 %",".500","1.000","1.000","1.000","1.500",".884","487"
