"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","2705","619","112","25","106","337","335","51","39","5.0 %","21.2 %",".192",".279",".248",".295",".440",".313","90"
"2018-09-30","TEX","@SEA","3","2B","3","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-29","TEX","@SEA","2","2B","4","1","0","0","0","1","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","26"
"2018-09-28","TEX","@SEA","1","2B","5","0","0","0","0","0","0","0","0","20.0 %","0.0 %",".000",".000",".000",".200",".000",".138","-30"
"2018-09-27","TEX","@SEA","1","2B","5","1","0","0","0","0","0","0","0","20.0 %","0.0 %",".000",".250",".250",".400",".250",".220","26"
"2018-09-26","TEX","@LAA","2","2B","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","26"
"2018-09-25","TEX","@LAA","5","2B","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","26"
"2018-09-24","TEX","@LAA","2","2B","5","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".200",".200",".200",".200",".176","-4"
"2018-09-23","TEX","SEA","4","2B","2","0","0","0","0","1","0","0","0","50.0 %","50.0 %",".000",".000",".000",".500",".000",".345","111"
"2018-09-22","TEX","SEA","5","2B","3","1","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".500",".333",".333",".333",".293","76"
"2018-09-21","TEX","SEA","6","2B","3","2","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".667",".667",".667",".667",".586","276"
"2018-09-19","TEX","TBR","2","2B","4","0","0","0","0","0","0","0","0","25.0 %","50.0 %",".000",".000",".000",".250",".000",".172","-7"
"2018-09-17","TEX","TBR","2","2B","4","0","0","0","0","0","0","1","0","0.0 %","25.0 %",".000",".000",".000",".250",".000",".180","-2"
"2018-09-16","TEX","@SDP","1","2B","5","1","0","0","0","0","0","0","0","0.0 %","40.0 %",".000",".333",".200",".200",".200",".176","-4"
"2018-09-15","TEX","@SDP","5","2B","5","0","0","0","0","0","0","0","0","0.0 %","40.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-14","TEX","@SDP","6","2B","4","1","0","0","0","0","0","0","0","0.0 %","75.0 %",".000","1.000",".250",".250",".250",".220","26"
"2018-09-12","TEX","@LAA","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-11","TEX","@LAA","1","2B","4","1","0","0","0","0","0","1","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","26"
"2018-09-09","TEX","@OAK","3","2B","4","1","0","0","0","0","1","0","1","25.0 %","0.0 %",".000",".333",".333",".500",".333",".392","143"
"2018-09-08","TEX","@OAK","2","2B","4","1","1","0","0","0","0","0","0","0.0 %","75.0 %",".250","1.000",".250",".250",".500",".312","88"
"2018-09-07","TEX","@OAK","2","2B","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-05","TEX","LAA","2","2B","4","1","0","0","0","1","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","26"
"2018-09-04","TEX","LAA","2","2B","4","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","26"
"2018-09-03","TEX","LAA","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-02","TEX","MIN","2","2B","6","2","1","0","0","3","1","0","0","16.7 %","0.0 %",".333",".500",".667",".667","1.000",".589","278"
"2018-09-01","TEX","MIN","2","2B","4","2","0","0","1","1","1","0","0","0.0 %","25.0 %",".750",".500",".500",".500","1.250",".728","372"
"2018-08-31","TEX","MIN","2","2B","5","1","0","0","0","1","1","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","-4"
"2018-08-29","TEX","LAD","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-28","TEX","LAD","2","2B","4","0","0","0","0","1","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","-7"
"2018-08-26","TEX","@SFG","1","2B","4","0","0","0","0","1","0","0","0","25.0 %","0.0 %",".000",".000",".000",".250",".000",".172","-7"
"2018-08-25","TEX","@SFG","2","2B","4","3","0","0","1","1","3","0","1","0.0 %","0.0 %",".750",".667",".750",".750","1.500",".947","522"
"2018-08-24","TEX","@SFG","2","2B","5","1","0","0","1","1","2","0","0","0.0 %","20.0 %",".600",".000",".200",".200",".800",".406","153"
"2018-08-22","TEX","@OAK","2","2B","5","0","0","0","0","0","0","0","0","20.0 %","40.0 %",".000",".000",".000",".200",".000",".138","-30"
"2018-08-21","TEX","@OAK","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-20","TEX","@OAK","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-19","TEX","LAA","2","2B","4","2","0","0","1","1","4","0","1","25.0 %","0.0 %","1.000",".500",".667",".750","1.667",".900","489"
"2018-08-18","TEX","LAA","1","2B","5","3","1","0","0","2","1","0","1","0.0 %","20.0 %",".200",".750",".600",".600",".800",".601","286"
"2018-08-17","TEX","LAA","2","2B","4","1","0","0","0","0","3","0","0","0.0 %","50.0 %",".000",".500",".333",".250",".333",".220","26"
"2018-08-16","TEX","LAA","2","2B","5","1","0","0","0","0","1","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","-4"
"2018-08-14","TEX","ARI","2","2B","4","1","1","0","0","1","0","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","88"
"2018-08-13","TEX","ARI","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-12","TEX","@NYY","2","2B","5","0","0","0","0","0","0","0","0","40.0 %","40.0 %",".000",".000",".000",".400",".000",".276","64"
"2018-08-11","TEX","@NYY","2","2B","5","2","0","0","0","1","0","1","0","20.0 %","20.0 %",".000",".667",".500",".600",".500",".490","210"
"2018-08-10","TEX","@NYY","2","2B","5","2","0","0","0","3","1","0","0","20.0 %","0.0 %",".000",".500",".500",".600",".500",".490","210"
"2018-08-09","TEX","@NYY","2","2B","5","1","1","0","0","0","0","0","0","0.0 %","40.0 %",".200",".333",".200",".200",".400",".249","46"
"2018-08-08","TEX","SEA","2","2B","5","2","0","1","0","1","0","0","0","0.0 %","0.0 %",".400",".400",".400",".400",".800",".492","211"
"2018-08-07","TEX","SEA","2","2B","5","2","1","0","1","2","4","0","0","0.0 %","0.0 %",".800",".250",".400",".400","1.200",".656","323"
"2018-08-06","TEX","SEA","2","2B","5","0","0","0","0","0","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-30"
"2018-08-05","TEX","BAL","2","2B","5","1","1","0","0","1","1","0","0","0.0 %","40.0 %",".200",".333",".200",".200",".400",".249","46"
"2018-08-04","TEX","BAL","2","2B","4","2","0","0","1","1","1","0","0","25.0 %","25.0 %","1.000","1.000",".667",".750","1.667",".900","489"
"2018-08-03","TEX","BAL","2","2B","5","2","0","0","1","2","4","0","0","0.0 %","20.0 %",".600",".333",".400",".400","1.000",".582","273"
"2018-08-02","TEX","BAL","2","2B","6","1","0","0","1","3","3","0","0","83.3 %","0.0 %","3.000",".000","1.000","1.000","4.000",".913","498"
"2018-07-31","TEX","@ARI","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-30","TEX","@ARI","2","2B","5","1","0","0","1","1","1","0","0","0.0 %","20.0 %",".600",".000",".200",".200",".800",".406","153"
"2018-07-29","TEX","@HOU","2","2B","4","1","1","0","0","1","0","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","88"
"2018-07-28","TEX","@HOU","2","2B","5","5","1","0","2","3","2","0","1","0.0 %","0.0 %","1.400","1.000","1.000","1.000","2.400","1.414","840"
"2018-07-26","TEX","OAK","2","2B","5","0","0","0","0","1","0","0","0","0.0 %","20.0 %",".000",".000",".000",".200",".000",".144","-26"
"2018-07-25","TEX","OAK","2","2B","4","1","0","0","0","1","1","1","1","25.0 %","25.0 %",".000",".500",".333",".500",".333",".392","143"
"2018-07-24","TEX","OAK","2","2B","5","1","1","0","0","2","0","0","0","20.0 %","20.0 %",".250",".333",".250",".400",".500",".387","140"
"2018-07-23","TEX","OAK","2","2B","4","1","1","0","0","1","0","0","0","0.0 %","0.0 %",".250",".250",".250",".250",".500",".312","88"
"2018-07-22","TEX","CLE","2","2B","4","3","0","0","1","1","3","1","0","0.0 %","0.0 %","1.000",".667","1.000",".750","2.000",".947","522"
"2018-07-21","TEX","CLE","2","2B","4","2","0","0","0","0","0","1","0","0.0 %","25.0 %",".000",".667",".500",".500",".500",".440","176"
"2018-07-20","TEX","CLE","5","2B","6","3","0","0","0","1","0","1","0","0.0 %","50.0 %",".000","1.000",".500",".500",".500",".440","176"
"2018-07-15","TEX","@BAL","4","2B","4","1","0","0","0","0","0","0","1","0.0 %","50.0 %",".000","1.000",".333",".500",".333",".400","148"
