Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2018,"Bartolo Colon","TEX",144.1,616,5.0508,1.5589,3.24,1.8707,0.1315,0.0406,0.0909,0.2806,1.3164,0.283,0.6689,5.3227157337551265,4.646058804826056,375
2018,"CC Sabathia","NYY",142,621,8.2394,3.0423,2.7083,1.2042,0.2093,0.0773,0.132,0.2535,1.3451,0.2988,0.7497,4.273728473755127,4.313848967136632,404
2018,"Fernando Rodney","2 Tms",60,262,10.05,3.9,2.5769,1.05,0.2557,0.0992,0.1565,0.2489,1.4,0.3208,0.8161,3.894385750755127,3.809118836124738,494
2018,"Marco Estrada","TOR",133,580,6.5639,3.2481,2.0208,1.7594,0.1672,0.0828,0.0845,0.2698,1.4361,0.2875,0.6833,5.371578732755127,5.785747104614301,1118
2018,"Tommy Hunter","PHI",59,245,6.7119,1.8305,3.6667,0.7627,0.1796,0.049,0.1306,0.2522,1.1864,0.2928,0.7424,3.533933772755127,3.9438865753553682,1157
2018,"Adam Ottavino","COL",71,280,13.1831,4.0563,3.25,0.3803,0.3714,0.1143,0.2571,0.1523,0.9718,0.25,0.7593,2.344151009755127,2.957964458683847,1247
2018,"Edwin Jackson","OAK",82.1,336,6.4494,3.17,2.0345,1.2024,0.1756,0.0863,0.0893,0.219,1.166,0.2373,0.7966,4.557814116755127,4.7668020296074625,1841
2018,"Matt Moore","TEX",96,445,7.5938,3.6563,2.0769,1.6875,0.182,0.0876,0.0944,0.3042,1.6771,0.3444,0.6108,5.286052417755128,5.102318853729716,1890
2018,"Zack Greinke","ARI",188,758,8.8564,1.7713,5,1.2926,0.2441,0.0488,0.1953,0.2252,1.0532,0.2664,0.8183,3.7461587997551273,3.390189635182949,1943
2018,"Ivan Nova","PIT",152.2,644,6.4258,1.8275,3.5161,1.4738,0.1693,0.0481,0.1211,0.2627,1.2511,0.2842,0.75,4.549698402755127,4.238375347273846,1994
2018,"Clayton Kershaw","LAD",143.1,574,8.9163,1.4442,6.1739,0.9419,0.2474,0.0401,0.2073,0.2222,1.0116,0.273,0.8095,3.063377976755127,3.0395687944922756,2036
