"Name","AVG","OBP","SLG","PA","BB%","K%","BB/K","HR/FB","LD%","wRAA","BUH%","IFH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","BABIP","playerid"
"Mitch Haniger",".285",".366",".493","683","10.2 %","21.7 %","0.47","15.8 %","21.3 %","28.9","0.0 %","7.8 %","44.8 %","36.7 %","18.5 %","16.0 %","46.8 %","37.1 %",".336","14274"
"Nelson Cruz",".256",".342",".509","591","9.3 %","20.6 %","0.45","24.0 %","17.5 %","22.2","0.0 %","2.3 %","40.8 %","34.8 %","24.5 %","16.3 %","41.5 %","42.3 %",".264","2434"
"Denard Span",".272",".329",".435","328","7.0 %","16.8 %","0.42","9.0 %","25.7 %","3.6","50.0 %","3.0 %","40.4 %","31.4 %","28.2 %","19.2 %","51.4 %","29.4 %",".307","8347"
"Jean Segura",".304",".341",".415","632","5.1 %","10.9 %","0.46","6.6 %","19.3 %","6.1","30.0 %","9.8 %","35.7 %","40.8 %","23.5 %","20.9 %","53.3 %","25.8 %",".327","5933"
"Ryon Healy",".235",".277",".412","524","5.2 %","21.6 %","0.24","17.3 %","19.2 %","-7.9","50.0 %","3.6 %","44.8 %","34.8 %","20.4 %","17.5 %","48.2 %","34.3 %",".257","15447"
"Guillermo Heredia",".236",".318",".342","337","9.5 %","15.4 %","0.62","6.3 %","23.3 %","-5.5","7.7 %","5.9 %","40.2 %","28.9 %","30.9 %","22.1 %","51.0 %","26.9 %",".270","18721"
"Kyle Seager",".221",".273",".400","630","6.0 %","21.9 %","0.28","11.0 %","21.4 %","-13.8","0.0 %","3.3 %","44.1 %","35.6 %","20.3 %","11.1 %","51.9 %","37.0 %",".251","9785"
"Mike Zunino",".201",".259",".410","405","5.9 %","37.0 %","0.16","20.2 %","18.7 %","-9.0","0.0 %","7.1 %","58.7 %","21.8 %","19.6 %","17.8 %","42.7 %","39.6 %",".268","13265"
"Dee Gordon",".268",".288",".349","588","1.5 %","13.6 %","0.11","3.9 %","22.4 %","-18.2","26.7 %","10.2 %","32.9 %","36.3 %","30.8 %","20.0 %","59.6 %","20.4 %",".304","8203"


