Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2018,"CC Sabathia","NYY",11,44,8.1818,2.4545,3.3333,0,0.2273,0.0682,0.1591,0.1795,0.9091,0.2414,0.8333,2.7065069637551273,4.05782840712504,404
2018,"Marco Estrada","TOR",10.2,47,5.0625,1.6875,3,2.5312,0.1277,0.0426,0.0851,0.2667,1.3125,0.25,0.9184,6.2547927497551274,5.850161238711413,1118
2018,"Zack Greinke","ARI",19.2,81,6.4068,2.7458,2.3333,0.4576,0.1728,0.0741,0.0988,0.2667,1.322,0.3167,0.6911,3.313594531755127,3.9122829989803316,1943
2018,"Clayton Kershaw","LAD",18,76,6.5,3,2.1667,1,0.1711,0.0789,0.0921,0.2429,1.2778,0.2727,0.6436,4.161052417755127,4.3682230714294645,2036
2018,"Adam Wainwright","STL",17.1,71,11.4231,2.0769,5.5,0.5192,0.3099,0.0563,0.2535,0.2239,1.0962,0.3182,0.625,2.064896463755127,3.0300370753874346,2233
2018,"Corey Kluber","CLE",20,84,12.6,2.25,5.6,0.9,0.3333,0.0595,0.2738,0.2405,1.2,0.3469,0.8491,2.411052417755127,2.1846022315323355,2429
2018,"Lance Lynn","NYY",13,53,10.3846,2.7692,3.75,0,0.283,0.0755,0.2075,0.2449,1.2308,0.3529,0.75,1.7764370337551272,3.0469101855388057,2520
2018,"Jhoulys Chacin","MIL",14,55,5.1429,3.8571,1.3333,1.2857,0.1455,0.1091,0.0364,0.1633,1,0.1538,0.7143,5.161052417755127,5.1914696727480205,2608
2018,"Max Scherzer","WSN",14,55,14.7857,1.2857,11.5,1.2857,0.4182,0.0364,0.3818,0.1923,0.8571,0.2963,0.8824,2.375338132755127,2.52372789404222,3137
2018,"David Price","BOS",10.1,49,6.9678,6.0968,1.1429,4.3549,0.1633,0.1429,0.0204,0.2619,1.7419,0.2069,0.8182,9.935267817755127,5.882604233115462,3184
2018,"Francisco Liriano","DET",15.2,68,9.1915,3.4468,2.6667,0,0.2353,0.0882,0.1471,0.2295,1.2766,0.3111,0.4762,2.458926252755127,3.196880364089165,3201
2018,"Anibal Sanchez","ATL",17,64,9,1.5882,5.6667,1.0588,0.2656,0.0469,0.2188,0.1833,0.8235,0.2195,0.9836,3.396346534755127,3.324242210212876,3284
2018,"Derek Holland","SFG",12.2,60,7.1052,4.2631,1.6667,1.421,0.1667,0.1,0.0667,0.2778,1.6579,0.3095,0.7692,5.055784272755127,4.828622611543797,4141
2018,"Jake Arrieta","PHI",13,62,7.6154,3.4615,2.2,1.3846,0.1774,0.0806,0.0968,0.3333,1.8462,0.3864,0.6132,4.622590878755127,4.782395238371996,4153
2018,"Jordan Zimmermann","DET",14.2,65,6.75,3.6818,1.8333,2.4545,0.1692,0.0923,0.0769,0.3103,1.6364,0.3256,0.6701,6.638317241755127,5.457677906821817,4505
2018,"Matt Shoemaker","LAA",10.2,48,11.8125,3.375,3.5,2.5312,0.2917,0.0833,0.2083,0.2558,1.4062,0.3077,0.678,5.5985447997551265,3.490690542122347,4776
2018,"Rich Hill","LAD",14,48,9,0,14,0.6429,0.2917,0,0.2917,0.125,0.4286,0.1515,1,2.089623846755127,2.9306400228823937,4806
2018,"Mike Montgomery","CHC",12.1,55,8.7568,1.4595,6,1.4595,0.2182,0.0364,0.1818,0.3019,1.4595,0.359,0.6579,3.8097028187551274,3.3085702092160814,4869
2018,"Jon Lester","CHC",11,48,5.7273,3.2727,1.75,0.8182,0.1458,0.0833,0.0625,0.25,1.3636,0.2778,0.8824,4.161052417755127,4.48070250695402,4930
2018,"Cole Hamels","CHC",19,80,9,1.8947,4.75,1.4211,0.2375,0.05,0.1875,0.2329,1.1053,0.2745,0.6061,4.318947153755127,3.8310035633413415,4972
2018,"Wade LeBlanc","SEA",15.1,66,9.3913,3.5217,2.6667,0.587,0.2424,0.0909,0.1515,0.2881,1.5,0.381,0.6195,3.291487483755127,4.4902305375504,5221
2018,"Madison Bumgarner","SFG",12,53,8.25,1.5,5.5,0.75,0.2075,0.0377,0.1698,0.2941,1.4167,0.359,0.7051,2.9110524177551276,3.341699591030678,5524
2018,"Chris Archer","PIT",13,49,11.7692,2.0769,5.6667,0.6923,0.3469,0.0612,0.2857,0.2222,1,0.3333,1,2.468744725755127,2.485123247366685,6345
2018,"Carlos Carrasco","CLE",16,69,14.0625,3.9375,3.5714,0.5625,0.3623,0.1014,0.2609,0.1774,1.125,0.2778,0.7831,2.161052417755127,2.174359966814518,6632
2018,"Julio Teheran","ATL",12.1,48,7.2973,3.6487,2,1.4595,0.2083,0.1042,0.1042,0.1628,0.973,0.1613,0.7609,4.863759721755127,5.433947909016642,6797
