Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2018,"CC Sabathia","NYY",11,44,1.777777777,0.107142857,0.571428571,0.321428571,0.222222222,0,0.0625,0,0.4828,0.2759,0.2414,0.3793,0.4138,0.2069,404
2018,"Marco Estrada","TOR",10.2,47,0.571428571,0.153846153,0.307692307,0.538461538,0.095238095,0.142857142,0.166666666,0,0.4359,0.4103,0.1538,0.2308,0.5897,0.1795,1118
2018,"Zack Greinke","ARI",19.2,81,2.133333333,0.229508196,0.524590163,0.245901639,0,0.066666666,0.09375,0,0.541,0.2787,0.1803,0.1311,0.4098,0.459,1943
2018,"Clayton Kershaw","LAD",18,76,1.277777777,0.267857142,0.410714285,0.321428571,0,0.111111111,0.04347826,0,0.5439,0.193,0.2632,0.1228,0.4912,0.386,2036
2018,"Adam Wainwright","STL",17.1,71,0.944444444,0.186046511,0.395348837,0.418604651,0.111111111,0.055555555,0.117647058,0.5,0.3778,0.3778,0.2444,0.1778,0.5333,0.2889,2233
2018,"Corey Kluber","CLE",20,84,1.692307692,0.270833333,0.458333333,0.270833333,0.153846153,0.153846153,0.09090909,0,0.42,0.36,0.22,0.18,0.42,0.4,2429
2018,"Lance Lynn","NYY",13,53,1.7,0.205882352,0.5,0.294117647,0.3,0,0.058823529,0,0.4118,0.3529,0.2353,0.3235,0.3529,0.3235,2520
2018,"Jhoulys Chacin","MIL",14,55,1,0.2,0.4,0.4,0.0625,0.125,0.0625,0,0.4878,0.3902,0.122,0.1463,0.4878,0.3659,2608
2018,"Max Scherzer","WSN",14,55,0.352941176,0.178571428,0.214285714,0.607142857,0.117647058,0.117647058,0.166666666,0,0.2759,0.3103,0.4138,0.1724,0.7241,0.1034,3137
2018,"David Price","BOS",10.1,49,0.928571428,0.205882352,0.382352941,0.411764705,0.142857142,0.357142857,0.076923076,0,0.5294,0.2353,0.2353,0.2059,0.3824,0.4118,3184
2018,"Francisco Liriano","DET",15.2,68,3.714285714,0.25,0.59090909,0.159090909,0,0,0.038461538,1,0.3556,0.2667,0.3778,0.1556,0.4444,0.4,3201
2018,"Anibal Sanchez","ATL",17,64,1.333333333,0.125,0.5,0.375,0.133333333,0.133333333,0.05,0.333333333,0.3721,0.3256,0.3023,0.3721,0.3721,0.2558,3284
2018,"Derek Holland","SFG",12.2,60,1.357142857,0.232558139,0.441860465,0.325581395,0.142857142,0.142857142,0.052631578,0,0.3864,0.3182,0.2955,0.1364,0.4773,0.3864,4141
2018,"Jake Arrieta","PHI",13,62,1.117647058,0.217391304,0.413043478,0.369565217,0.176470588,0.117647058,0,0,0.3261,0.3478,0.3261,0.087,0.6087,0.3043,4153
2018,"Jordan Zimmermann","DET",14.2,65,0.761904761,0.195652173,0.347826086,0.456521739,0.047619047,0.19047619,0.0625,0,0.2553,0.5106,0.234,0.1064,0.4681,0.4255,4505
2018,"Matt Shoemaker","LAA",10.2,48,1.2,0.214285714,0.428571428,0.357142857,0,0.3,0,1,0.5862,0.3103,0.1034,0.069,0.4483,0.4828,4776
2018,"Rich Hill","LAD",14,48,0.933333333,0.121212121,0.424242424,0.454545454,0.4,0.066666666,0.071428571,0,0.2647,0.4412,0.2941,0.2941,0.3235,0.3824,4806
2018,"Mike Montgomery","CHC",12.1,55,1.5,0.23076923,0.461538461,0.307692307,0,0.166666666,0.111111111,0,0.4634,0.2927,0.2439,0.1463,0.5366,0.3171,4869
2018,"Jon Lester","CHC",11,48,1.7,0.27027027,0.459459459,0.27027027,0.3,0.1,0.058823529,0,0.4324,0.3243,0.2432,0.2432,0.4595,0.2973,4930
2018,"Cole Hamels","CHC",19,80,1.222222222,0.23076923,0.423076923,0.346153846,0.111111111,0.166666666,0.045454545,0,0.3774,0.3585,0.2642,0.1509,0.434,0.4151,4972
2018,"Wade LeBlanc","SEA",15.1,66,0.631578947,0.279069767,0.279069767,0.441860465,0.157894736,0.052631578,0,0,0.3953,0.2791,0.3256,0.1163,0.6047,0.2791,5221
2018,"Madison Bumgarner","SFG",12,53,1.727272727,0.23076923,0.487179487,0.282051282,0.09090909,0.09090909,0.052631578,0,0.425,0.45,0.125,0.075,0.375,0.55,5524
2018,"Chris Archer","PIT",13,49,1.75,0.214285714,0.5,0.285714285,0,0.125,0.071428571,0,0.2857,0.5,0.2143,0.2857,0.4643,0.25,6345
2018,"Carlos Carrasco","CLE",16,69,2.375,0.25,0.527777777,0.222222222,0,0.125,0.052631578,0,0.2973,0.4595,0.2432,0.1351,0.5135,0.3514,6632
2018,"Julio Teheran","ATL",12.1,48,0.4,0.151515151,0.242424242,0.606060606,0.05,0.1,0,0,0.3939,0.2727,0.3333,0.1818,0.6364,0.1818,6797
2018,"Ian Kennedy","KCR",13,52,0.777777777,0.255813953,0.325581395,0.418604651,0,0.111111111,0.071428571,0,0.4186,0.3721,0.2093,0.093,0.4186,0.4884,6986
2018,"James Shields","CHW",12,52,0.785714285,0.324324324,0.297297297,0.378378378,0.142857142,0.214285714,0,0,0.6216,0.2162,0.1622,0.1622,0.5405,0.2973,7059
2018,"J.A. Happ","NYY",17,70,0.36,0.209302325,0.209302325,0.581395348,0.16,0.08,0,0,0.4419,0.3488,0.2093,0.186,0.6047,0.2093,7410
2018,"Gio Gonzalez","MIL",15,58,0.9,0.116279069,0.418604651,0.465116279,0.1,0.05,0.111111111,0,0.3636,0.2727,0.3636,0.2273,0.3409,0.4318,7448
2018,"Mike Fiers","OAK",13.1,60,0.59090909,0.186046511,0.302325581,0.511627906,0.045454545,0.181818181,0.076923076,0,0.3182,0.25,0.4318,0.1136,0.4318,0.4545,7754
2018,"Jason Vargas","NYM",12.2,47,0.692307692,0.214285714,0.321428571,0.464285714,0.153846153,0.076923076,0.111111111,0,0.4194,0.3226,0.2581,0.129,0.5806,0.2903,8044
2018,"Yovani Gallardo","TEX",14.2,66,1.25,0.265306122,0.408163265,0.326530612,0,0.0625,0,0,0.3878,0.3878,0.2245,0.102,0.5102,0.3878,8173
2018,"Brett Anderson","OAK",12,50,2.444444444,0.205128205,0.564102564,0.23076923,0,0.333333333,0,0,0.359,0.4615,0.1795,0.1795,0.4103,0.4103,8223
2018,"Justin Verlander","HOU",19,66,0.642857142,0.233333333,0.3,0.466666666,0.142857142,0.071428571,0.222222222,0,0.3871,0.3871,0.2258,0.1935,0.5806,0.2258,8700
2018,"Wade Miley","MIL",12,53,3.142857142,0.292682926,0.536585365,0.170731707,0,0,0.09090909,0,0.4091,0.4091,0.1818,0.1591,0.5,0.3409,8779
2018,"Nathan Eovaldi","BOS",13,49,2.333333333,0.259259259,0.518518518,0.222222222,0.166666666,0,0.142857142,0,0.4815,0.2593,0.2593,0.2963,0.5185,0.1852,9132
2018,"Patrick Corbin","ARI",14,60,3,0.333333333,0.5,0.166666666,0.333333333,0.166666666,0,0,0.3784,0.4865,0.1351,0.1892,0.4324,0.3784,9323
2018,"Josh Tomlin","CLE",10.2,47,0.933333333,0.171428571,0.4,0.428571428,0.066666666,0.133333333,0.142857142,0,0.3611,0.2778,0.3611,0.25,0.3889,0.3611,9388
2018,"Dallas Keuchel","HOU",13,59,1.3125,0.119047619,0.5,0.38095238,0.0625,0.0625,0.142857142,1,0.3023,0.3953,0.3023,0.2558,0.5349,0.2093,9434
2018,"Miles Mikolas","STL",20,74,0.791666666,0.173076923,0.365384615,0.461538461,0.083333333,0.083333333,0.052631578,0,0.4231,0.2692,0.3077,0.2308,0.4231,0.3462,9803
2018,"Mike Minor","TEX",11,45,0.5,0.3,0.233333333,0.466666666,0.214285714,0.142857142,0,0,0.4,0.4,0.2,0.2333,0.4333,0.3333,10021
2018,"Kyle Gibson","MIN",20,83,2.2,0.2,0.55,0.25,0.066666666,0.133333333,0.06060606,0,0.4098,0.3934,0.1967,0.2131,0.3934,0.3934,10123
2018,"Stephen Strasburg","WSN",16,71,1.153846153,0.222222222,0.416666666,0.361111111,0,0.23076923,0.066666666,0,0.2895,0.3947,0.3158,0.1579,0.4474,0.3947,10131
2018,"Robbie Erlin","SDP",10,43,2.375,0.205882352,0.558823529,0.235294117,0.25,0.125,0.105263157,0,0.3824,0.4412,0.1765,0.1471,0.5,0.3529,10354
2018,"Chris Sale","BOS",11,46,1,0.307692307,0.346153846,0.346153846,0.111111111,0.111111111,0.111111111,0,0.5556,0.2963,0.1481,0.1111,0.5926,0.2963,10603
2018,"Mike Foltynewicz","ATL",17,67,0.695652173,0.071428571,0.38095238,0.547619047,0.086956521,0.086956521,0,0,0.381,0.3571,0.2619,0.2381,0.4286,0.3333,10811
2018,"Jacob deGrom","NYM",22,76,1.923076923,0.136363636,0.568181818,0.295454545,0.076923076,0.076923076,0,0,0.5682,0.25,0.1818,0.2955,0.5455,0.1591,10954
2018,"Jose Quintana","CHC",15,65,1.0625,0.195121951,0.414634146,0.390243902,0.0625,0.3125,0.117647058,0,0.2558,0.3488,0.3953,0.1628,0.4651,0.3721,11423
2018,"Bryan Mitchell","SDP",13.2,58,1.916666666,0.204545454,0.522727272,0.272727272,0.25,0.166666666,0,0,0.3864,0.2273,0.3864,0.1364,0.3636,0.5,11479
2018,"Robbie Ray","ARI",15,66,1.1,0.34375,0.34375,0.3125,0,0.2,0,0,0.375,0.3438,0.2813,0.125,0.3438,0.5313,11486
2018,"Jose Urena","MIA",16.2,64,1.047619047,0.122448979,0.448979591,0.428571428,0.095238095,0.047619047,0.09090909,0,0.3469,0.3265,0.3265,0.1633,0.5102,0.3265,11589
2018,"Jameson Taillon","PIT",20,77,1.176470588,0.26,0.4,0.34,0.176470588,0.117647058,0,0,0.32,0.48,0.2,0.18,0.6,0.22,11674
2018,"Matt Harvey","CIN",10.1,46,1.153846153,0.151515151,0.454545454,0.393939393,0.153846153,0.23076923,0.066666666,0,0.3636,0.4545,0.1818,0.1818,0.3333,0.4848,11713
2018,"Noah Syndergaard","NYM",19,73,1.411764705,0.18,0.48,0.34,0.235294117,0.117647058,0.083333333,0,0.4118,0.3529,0.2353,0.3529,0.451,0.1961,11762
