Name,TEAM,ERA,BAA,OBP,SLG
Zack Wheeler,NYM,3.31,0.225,0.291,0.32
Zack Greinke,ARI,3.21,0.231,0.275,0.39
Zack Godley,ARI,4.74,0.26,0.345,0.389
Zach Eflin,PHI,4.36,0.261,0.313,0.433
Wei-Yin Chen,MIA,4.79,0.256,0.316,0.432
Walker Buehler,LAD,2.62,0.193,0.256,0.3
Wade LeBlanc,SEA,3.72,0.246,0.293,0.419
Vince Velasquez,PHI,4.85,0.25,0.329,0.418
Tyson Ross,STL/SD,4.15,0.237,0.319,0.394
Tyler Skaggs,LAA,4.02,0.262,0.323,0.413
Tyler Anderson,COL,4.55,0.248,0.309,0.448
Trevor Williams,PIT,3.11,0.231,0.295,0.364
Trevor Richards,MIA,4.42,0.253,0.332,0.422
Trevor Bauer,CLE,2.21,0.208,0.28,0.302
Tanner Roark,WSH,4.34,0.262,0.319,0.422
Steven Matz,NYM,3.97,0.232,0.312,0.419
Stephen Strasburg,WSH,3.74,0.24,0.302,0.409
Sonny Gray,NYY,4.9,0.27,0.349,0.419
Sean Newcomb,ATL,3.9,0.226,0.316,0.362
Sean Manaea,OAK,3.59,0.232,0.278,0.385
Sam Gaviglio,TOR,5.31,0.281,0.335,0.47
Sal Romano,CIN,5.31,0.267,0.331,0.453
Ryan Yarbrough,TB,3.91,0.246,0.316,0.414
Ross Stripling,LAD,3.02,0.257,0.291,0.431
Robbie Ray,ARI,3.93,0.216,0.328,0.379
Rick Porcello,BOS,4.28,0.241,0.299,0.399
Rich Hill,LAD,3.66,0.219,0.289,0.4
Reynaldo Lopez,CHW,3.91,0.234,0.313,0.4
Patrick Corbin,ARI,3.15,0.218,0.27,0.337
Noah Syndergaard,NYM,3.03,0.25,0.303,0.348
Nick Pivetta,PHI,4.77,0.261,0.32,0.423
Miles Mikolas,STL,2.83,0.245,0.278,0.35
Mike Montgomery,CHC,3.99,0.272,0.333,0.391
Mike Minor,TEX,4.18,0.235,0.288,0.445
Mike Leake,SEA,4.36,0.28,0.316,0.447
Mike Foltynewicz,ATL,2.85,0.195,0.275,0.324
Mike Fiers,DET/OAK,3.56,0.249,0.296,0.45
Mike Clevinger,CLE,3.02,0.223,0.29,0.365
Michael Fulmer,DET,4.69,0.254,0.321,0.437
Max Scherzer,WSH,2.53,0.188,0.247,0.332
Matthew Boyd,DET,4.39,0.228,0.294,0.41
Matt Harvey,CIN/NYM,4.94,0.271,0.317,0.466
Masahiro Tanaka,NYY,3.75,0.24,0.29,0.422
Marco Gonzales,SEA,4,0.267,0.307,0.414
Marco Estrada,TOR,5.64,0.274,0.331,0.521
Madison Bumgarner,SF,3.26,0.238,0.304,0.39
Luke Weaver,STL,4.95,0.277,0.345,0.441
Luis Severino,NYY,3.39,0.238,0.288,0.379
Luis Castillo,CIN,4.3,0.245,0.301,0.431
Lucas Giolito,CHW,6.13,0.25,0.35,0.444
Lance McCullers Jr.,HOU,3.86,0.215,0.298,0.355
Lance Lynn,MIN/NYY,4.77,0.265,0.35,0.394
Kyle Hendricks,CHC,3.44,0.247,0.294,0.391
Kyle Gibson,MIN,3.62,0.241,0.316,0.385
Kyle Freeland,COL,2.85,0.24,0.308,0.358
