Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2018,"Bartolo Colon","TEX",144.1,616,1.20338983,0.229249011,0.420948616,0.349802371,0.09039548,0.169491525,0.051643192,0,0.4655,0.3314,0.2032,0.1519,0.4122,0.4359,375
2018,"CC Sabathia","NYY",142,621,1.228758169,0.208816705,0.436194895,0.354988399,0.117647058,0.124183006,0.154255319,0.666666666,0.4401,0.3502,0.2097,0.2419,0.4677,0.2903,404
2018,"Fernando Rodney","2 Tms",60,262,1.403846153,0.246987951,0.439759036,0.313253012,0.134615384,0.134615384,0.08219178,0,0.3554,0.4217,0.2229,0.2229,0.4277,0.3494,494
2018,"Marco Estrada","TOR",133,580,0.420168067,0.208430913,0.234192037,0.557377049,0.159663865,0.109243697,0.03,0.8,0.375,0.3611,0.2639,0.1898,0.5,0.3102,1118
2018,"Tommy Hunter","PHI",59,245,1.87037037,0.162162162,0.545945945,0.291891891,0.092592592,0.092592592,0.05940594,0,0.4086,0.3871,0.2043,0.1774,0.5538,0.2688,1157
2018,"Adam Ottavino","COL",71,280,1.18,0.192592592,0.437037037,0.37037037,0.12,0.06,0.06779661,0.666666666,0.3696,0.3188,0.3116,0.2101,0.5507,0.2391,1247
2018,"Edwin Jackson","OAK",82.1,336,0.896907216,0.239669421,0.359504132,0.400826446,0.144329896,0.113402061,0.068965517,0.2,0.417,0.3684,0.2146,0.2146,0.4251,0.3603,1841
2018,"Matt Moore","TEX",96,445,0.900763358,0.216981132,0.371069182,0.411949685,0.106870229,0.13740458,0.101694915,0.5,0.3938,0.3625,0.2438,0.1469,0.3813,0.4719,1890
2018,"Zack Greinke","ARI",188,758,1.354651162,0.230038022,0.442965779,0.326996197,0.098837209,0.156976744,0.017167381,0.25,0.4019,0.383,0.2151,0.1604,0.4358,0.4038,1943
2018,"Ivan Nova","PIT",152.2,644,1.321428571,0.202453987,0.45398773,0.343558282,0.095238095,0.148809523,0.121621621,0.181818181,0.408,0.34,0.252,0.17,0.51,0.32,1994
2018,"Clayton Kershaw","LAD",143.1,574,1.672413793,0.219143576,0.488664987,0.292191435,0.086206896,0.129310344,0.082474226,0.375,0.4864,0.321,0.1926,0.2148,0.4272,0.358,2036
2018,"Jorge De La Rosa","2 Tms",52,225,1.733333333,0.201298701,0.506493506,0.292207792,0.2,0.133333333,0.064102564,0.2,0.4151,0.3648,0.2201,0.1698,0.4717,0.3585,2047
