"Date","Team","Opp","GS","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GSv2"
"Total","- - -","- - -","101","41","26","3.44","101","101","2","1","0","0","0","576.1","2379","516","243","220","54","168","9","6","40","1","608","56"
"2018-09-24","SEA","OAK","1","0","0","4.50","1","1","0","0","0","0","0","4.0","15","3","2","2","2","0","0","0","0","0","5","45"
"2018-09-07","SEA","NYY","1","0","1","6.00","1","1","0","0","0","0","0","6.0","24","5","4","4","2","1","0","0","0","0","8","48"
"2018-09-01","SEA","@OAK","1","1","0","5.40","1","1","0","0","0","0","0","5.0","22","2","3","3","1","4","0","0","1","0","10","53"
"2018-08-14","SEA","@OAK","1","0","0","27.00","1","1","0","0","0","0","0","0.1","3","2","1","1","1","0","0","0","0","0","1","30"
"2018-08-09","SEA","@HOU","1","1","0","6.35","1","1","0","0","0","0","0","5.2","27","7","4","4","0","3","0","0","0","0","5","47"
"2018-08-04","SEA","TOR","1","0","1","3.86","1","1","0","0","0","0","0","7.0","26","8","3","3","1","1","0","0","1","0","7","56"
"2018-07-30","SEA","HOU","1","1","0","0.00","1","1","0","0","0","0","0","7.0","24","3","0","0","0","0","0","0","0","0","8","84"
"2018-07-12","SEA","@LAA","1","0","1","40.50","1","1","0","0","0","0","0","0.2","5","3","3","3","2","0","0","0","0","0","1","18"
"2018-07-07","SEA","COL","1","0","1","5.14","1","1","0","0","0","0","0","7.0","29","7","4","4","1","1","0","0","0","0","9","57"
"2018-07-01","SEA","KCR","1","1","0","0.00","1","1","0","0","0","0","0","8.0","28","2","0","0","0","2","0","0","0","0","11","91"
"2018-06-26","SEA","@BAL","1","1","0","2.57","1","1","0","0","0","0","0","7.0","25","6","2","2","1","1","0","0","0","0","10","66"
"2018-06-21","SEA","@NYY","1","0","1","7.20","1","1","0","0","0","0","0","5.0","25","7","4","4","2","3","0","0","1","0","9","35"
"2018-06-15","SEA","BOS","1","0","0","23.14","1","1","0","0","0","0","0","2.1","16","7","6","6","1","1","0","0","2","0","4","18"
"2018-06-10","SEA","@TBR","1","1","0","3.86","1","1","0","0","0","0","0","7.0","26","5","3","3","1","0","0","0","0","0","10","67"
"2018-06-05","SEA","@HOU","1","1","0","1.17","1","1","0","0","0","0","0","7.2","30","9","1","1","0","1","0","0","0","0","6","69"
"2018-05-30","SEA","TEX","1","0","0","3.60","1","1","0","0","0","0","0","5.0","22","4","2","2","0","4","0","0","1","0","5","53"
"2018-05-25","SEA","MIN","1","1","0","1.29","1","1","0","0","0","0","0","7.0","24","3","1","1","1","0","0","0","0","0","11","78"
"2018-05-19","SEA","DET","1","1","0","2.00","1","1","1","0","0","0","0","9.0","30","3","2","2","1","1","0","0","0","0","8","82"
"2018-05-13","SEA","@DET","1","0","0","4.50","1","1","0","0","0","0","0","6.0","24","6","3","3","1","0","0","0","0","0","4","53"
"2018-05-08","SEA","@TOR","1","1","0","0.00","1","1","1","1","0","0","0","9.0","29","0","0","0","0","3","0","0","0","0","7","95"
"2018-05-02","SEA","OAK","1","0","0","0.00","1","1","0","0","0","0","0","7.0","27","5","0","0","0","1","0","0","0","0","16","86"
"2018-04-26","SEA","@CLE","1","0","0","3.00","1","1","0","0","0","0","0","6.0","26","5","2","2","1","3","0","0","0","0","10","58"
"2018-04-21","SEA","@TEX","1","0","0","11.25","1","1","0","0","0","0","0","4.0","21","6","5","5","0","3","0","0","1","0","6","37"
"2018-04-16","SEA","HOU","1","1","0","1.50","1","1","0","0","0","0","0","6.0","24","3","1","1","1","3","0","0","0","0","7","62"
"2018-04-11","SEA","@KCR","1","0","0","3.00","1","1","0","0","0","0","0","6.0","25","6","2","2","0","1","0","1","0","0","10","66"
"2018-04-05","SEA","@MIN","1","0","0","3.60","1","1","0","0","0","0","0","5.0","21","4","2","2","1","1","0","0","1","0","7","55"
"2018-03-31","SEA","CLE","1","0","1","11.57","1","1","0","0","0","0","0","4.2","24","6","6","6","2","4","0","0","0","0","4","22"
"2017-10-01","SEA","@LAA","1","0","0","0.00","1","1","0","0","0","0","0","6.0","21","3","0","0","0","0","0","0","0","0","9","80"
"2017-09-26","SEA","@OAK","1","0","0","5.06","1","1","0","0","0","0","0","5.1","22","6","3","3","2","0","0","0","0","0","5","45"
"2017-09-21","SEA","TEX","1","0","1","4.91","1","1","0","0","0","0","0","3.2","17","4","2","2","0","2","0","0","0","0","4","49"
"2017-09-15","SEA","@HOU","1","0","1","20.25","1","1","0","0","0","0","0","1.1","10","4","3","3","0","2","0","0","2","0","0","28"
"2017-08-10","SEA","LAA","1","0","0","4.26","1","1","0","0","0","0","0","6.1","24","5","3","3","2","1","0","0","0","0","6","52"
